Mitte,52.5295114,13.384034
Mitte,52.51876015,13.3423534916482
Mitte,52.5295114,13.384034
Reinickendorf,52.5730384,13.3672965
Pankow,52.5504512,13.409814147025
Mitte,52.5123809,13.3903459
Mitte,52.508344,13.3746789
Pankow,52.5385323,13.4140365
Mitte,52.5289526,13.4095975
Mitte,52.4992507,13.3621337
Spandau,52.536561,13.2754036
Charlottenburg-Wilmersdorf,52.5133639,13.2874905007046
Pankow,52.5507815,13.4325124808173
Pankow,52.5913507,13.3828661
Pankow,52.5465459,13.4467011
Friedrichshain-Kreuzberg,52.50965155,13.4351398398219
Pankow,52.5843989,13.429114
Friedrichshain-Kreuzberg,52.52040335,13.4632951
Charlottenburg-Wilmersdorf,52.4728519,13.3075782
Tempelhof-Schöneberg,52.4669584,13.3302428
Steglitz-Zehlendorf,52.4617585,13.3396427
Pankow,52.6025978,13.4311951
Lichtenberg,52.52749405,13.4812533207588
Treptow-Köpenick,52.4855808,13.4568606
Lichtenberg,52.5184563,13.4969561720252
Neukölln,52.4587694,13.4235317
Lichtenberg,52.5055916,13.4960317
Lichtenberg,52.5749673,13.5096214
Lichtenberg,52.4996583,13.5077647
Pankow,52.6185124,13.4868933
Spandau,52.5332393,13.1556785068036
Treptow-Köpenick,52.4693388,13.5128787
Marzahn-Hellersdorf,52.5556316,13.5591973
Spandau,52.5250164,13.1414723
Neukölln,52.4216161,13.452348
Marzahn-Hellersdorf,52.5082154,13.5613013
Marzahn-Hellersdorf,52.55022655,13.5783722022103
Steglitz-Zehlendorf,52.41127755,13.2625279317419
Treptow-Köpenick,52.4514528,13.5297686781012
Tempelhof-Schöneberg,52.4037915,13.4057183
Marzahn-Hellersdorf,52.5214545,13.5898652
Neukölln,52.4173243,13.4958415
Spandau,52.4529076,13.1429323
Marzahn-Hellersdorf,52.5073911,13.6125681
Treptow-Köpenick,52.41801005,13.5369363739274
Treptow-Köpenick,52.4418006,13.5807017
Treptow-Köpenick,52.4127097,13.5714495
Treptow-Köpenick,52.3783566,13.6455705
